PoolId,RewardId,ItemId,Amount,Quality,Weight
pool_standard,gacha_std_ore_basic,mat_ore_basic,10,White,1600
pool_standard,gacha_std_wolf_fang,mat_wolf_fang,6,White,1400
pool_standard,gacha_std_wolf_hide,mat_wolf_hide,6,White,1400
pool_standard,gacha_std_spider_venom,mat_spider_venom,5,White,1200
pool_standard,gacha_std_blood_pack,consumable_blood_pack,3,White,1100
pool_standard,gacha_std_armor_medicine,consumable_armor_medicine,3,White,1100
pool_standard,gacha_std_forge_stone,mat_forge_stone,4,Blue,620
pool_standard,gacha_std_snake_scale,mat_snake_scale,4,Blue,520
pool_standard,gacha_std_bee_stinger,mat_bee_stinger,4,Blue,520
pool_standard,gacha_std_bat_eye,mat_bat_eye,4,Blue,480
pool_standard,gacha_std_treant_root,mat_treant_root,4,Blue,460
pool_standard,gacha_std_alloy_advanced,mat_alloy_advanced,3,Purple,180
pool_standard,gacha_std_golem_stone,mat_golem_stone,3,Purple,170
pool_standard,gacha_std_magma_core,mat_magma_core,3,Purple,170
pool_standard,gacha_std_treant_seed,mat_treant_seed,2,Purple,160
pool_standard,gacha_std_mimic_key,mat_mimic_key,1,Gold,60
pool_standard,gacha_std_dragon_scale,mat_dragon_scale,2,Gold,50
pool_standard,gacha_std_dragon_bone,mat_dragon_bone,2,Gold,40
pool_standard,gacha_std_dragon_core,mat_dragon_core,1,Red,10
